Date;S&P
13/09/2010;1121.9000
14/09/2010;1121.1000
15/09/2010;1125.0700
16/09/2010;1124.6600
17/09/2010;1125.5900
20/09/2010;1142.7100
21/09/2010;1139.7800
22/09/2010;1134.2800
23/09/2010;1124.8300
24/09/2010;1148.6700
27/09/2010;1142.1600
28/09/2010;1147.7000
29/09/2010;1144.7300
30/09/2010;1141.2000
01/10/2010;1146.2400
04/10/2010;1137.0300
05/10/2010;1160.7500
06/10/2010;1159.9700
07/10/2010;1158.0600
08/10/2010;1165.1500
11/10/2010;1165.3200
12/10/2010;1169.7700
13/10/2010;1178.1000
14/10/2010;1173.8100
15/10/2010;1176.1900
18/10/2010;1184.7100
19/10/2010;1165.9000
20/10/2010;1178.1700
21/10/2010;1180.2600
22/10/2010;1183.0800
25/10/2010;1185.6200
26/10/2010;1185.6400
27/10/2010;1182.4500
28/10/2010;1183.7800
29/10/2010;1183.2600
01/11/2010;1184.3800
02/11/2010;1193.5700
03/11/2010;1197.9600
04/11/2010;1221.0600
05/11/2010;1225.8500
08/11/2010;1223.2500
09/11/2010;1213.4000
10/11/2010;1218.7100
11/11/2010;1213.5400
12/11/2010;1199.2100
15/11/2010;1197.7500
16/11/2010;1178.3400
17/11/2010;1178.5900
18/11/2010;1196.6900
19/11/2010;1199.7300
22/11/2010;1197.8400
23/11/2010;1180.7300
24/11/2010;1198.3500
26/11/2010;1189.4000
29/11/2010;1187.7600
30/11/2010;1180.5500
01/12/2010;1206.0700
02/12/2010;1221.5300
03/12/2010;1224.7100
06/12/2010;1223.1200
07/12/2010;1223.7500
08/12/2010;1228.2800
09/12/2010;1233.0000
10/12/2010;1240.4000
13/12/2010;1240.4600
14/12/2010;1241.5900
15/12/2010;1235.2300
16/12/2010;1242.8700
17/12/2010;1243.9100
20/12/2010;1247.0800
21/12/2010;1254.6000
22/12/2010;1258.8400
23/12/2010;1256.7700
27/12/2010;1257.5400
28/12/2010;1258.5100
29/12/2010;1259.7800
30/12/2010;1257.8800
31/12/2010;1257.6400
03/01/2011;1271.8700
04/01/2011;1270.2000
05/01/2011;1276.5600
06/01/2011;1273.8500
07/01/2011;1271.5000
10/01/2011;1269.7500
11/01/2011;1274.4800
12/01/2011;1285.9600
13/01/2011;1283.7600
14/01/2011;1293.2400
18/01/2011;1295.0200
19/01/2011;1281.9200
20/01/2011;1280.2600
21/01/2011;1283.3500
24/01/2011;1290.8400
25/01/2011;1291.1800
26/01/2011;1296.6300
27/01/2011;1299.5400
28/01/2011;1276.3400
31/01/2011;1286.1200
01/02/2011;1307.5900
02/02/2011;1304.0300
03/02/2011;1307.1000
04/02/2011;1310.8700
07/02/2011;1319.0500
08/02/2011;1324.5700
09/02/2011;1320.8800
10/02/2011;1321.8700
11/02/2011;1329.1500
14/02/2011;1332.3200
15/02/2011;1328.0100
16/02/2011;1336.3200
17/02/2011;1340.4300
18/02/2011;1343.0100
22/02/2011;1315.4400
23/02/2011;1307.4000
24/02/2011;1306.1000
25/02/2011;1319.8800
28/02/2011;1327.2200
01/03/2011;1306.3300
02/03/2011;1308.4400
03/03/2011;1330.9700
04/03/2011;1321.1500
07/03/2011;1310.1300
08/03/2011;1321.8200
09/03/2011;1320.0200
10/03/2011;1295.1100
11/03/2011;1304.2800
14/03/2011;1296.3900
15/03/2011;1281.8700
16/03/2011;1256.8800
17/03/2011;1273.7200
18/03/2011;1279.2100
21/03/2011;1298.3800
22/03/2011;1293.7700
23/03/2011;1297.5400
24/03/2011;1309.6600
25/03/2011;1313.8000
28/03/2011;1310.1900
29/03/2011;1319.4400
30/03/2011;1328.2600
31/03/2011;1325.8300
01/04/2011;1332.4100
04/04/2011;1332.8700
05/04/2011;1332.6300
06/04/2011;1335.5400
07/04/2011;1333.5100
08/04/2011;1328.1700
11/04/2011;1324.4600
12/04/2011;1314.1600
13/04/2011;1314.4100
14/04/2011;1314.5200
15/04/2011;1319.6800
18/04/2011;1305.1400
19/04/2011;1312.6200
20/04/2011;1330.3600
21/04/2011;1337.3800
25/04/2011;1335.2500
26/04/2011;1347.2400
27/04/2011;1355.6600
28/04/2011;1360.4800
29/04/2011;1363.6100
02/05/2011;1361.2200
03/05/2011;1356.6200
04/05/2011;1347.3200
05/05/2011;1335.1000
06/05/2011;1340.2000
09/05/2011;1346.2900
10/05/2011;1357.1600
11/05/2011;1342.0800
12/05/2011;1348.6500
13/05/2011;1337.7700
16/05/2011;1329.4700
17/05/2011;1328.9800
18/05/2011;1340.6800
19/05/2011;1343.6000
20/05/2011;1333.2700
23/05/2011;1317.3700
24/05/2011;1316.2800
25/05/2011;1320.4700
26/05/2011;1325.6900
27/05/2011;1331.1000
31/05/2011;1345.2000
01/06/2011;1314.5500
02/06/2011;1312.9400
03/06/2011;1300.1600
06/06/2011;1286.1700
07/06/2011;1284.9400
08/06/2011;1279.5600
09/06/2011;1289.0000
10/06/2011;1270.9800
13/06/2011;1271.8300
14/06/2011;1287.8700
15/06/2011;1265.4200
16/06/2011;1267.6400
17/06/2011;1271.5000
20/06/2011;1278.3600
21/06/2011;1295.5200
22/06/2011;1287.1400
23/06/2011;1283.5000
24/06/2011;1268.4500
27/06/2011;1280.1000
28/06/2011;1296.6700
29/06/2011;1307.4100
30/06/2011;1320.6400
01/07/2011;1339.6700
05/07/2011;1337.8800
06/07/2011;1339.2200
07/07/2011;1353.2200
08/07/2011;1343.8000
11/07/2011;1319.4900
12/07/2011;1313.6400
13/07/2011;1317.7200
14/07/2011;1308.8700
15/07/2011;1316.1400
18/07/2011;1305.4400
19/07/2011;1326.7300
20/07/2011;1325.8400
21/07/2011;1343.8000
22/07/2011;1345.0200
25/07/2011;1337.4300
26/07/2011;1331.9400
27/07/2011;1304.8900
28/07/2011;1300.6700
29/07/2011;1292.2800
01/08/2011;1286.9400
02/08/2011;1254.0500
03/08/2011;1260.3400
04/08/2011;1200.0700
05/08/2011;1199.3800
08/08/2011;1119.4600
09/08/2011;1172.5300
10/08/2011;1120.7600
11/08/2011;1172.6400
12/08/2011;1178.8100
15/08/2011;1204.4900
16/08/2011;1192.7600
17/08/2011;1193.8900
18/08/2011;1140.6500
19/08/2011;1123.5300
22/08/2011;1123.8200
23/08/2011;1162.3500
24/08/2011;1177.6000
25/08/2011;1159.2700
26/08/2011;1176.8000
29/08/2011;1210.0800
30/08/2011;1212.9200
31/08/2011;1218.8900
01/09/2011;1204.4200
02/09/2011;1173.9700
06/09/2011;1165.2400
07/09/2011;1198.6200
08/09/2011;1185.9000
09/09/2011;1154.2300
12/09/2011;1162.2700
13/09/2011;1172.8700
14/09/2011;1188.6800
15/09/2011;1209.1100
16/09/2011;1216.0100
19/09/2011;1204.0900
20/09/2011;1202.0900
21/09/2011;1166.7600
22/09/2011;1129.5600
23/09/2011;1136.4300
26/09/2011;1162.9500
27/09/2011;1175.3800
28/09/2011;1151.0600
29/09/2011;1160.4000
30/09/2011;1131.4200
03/10/2011;1099.2300
04/10/2011;1123.9500
05/10/2011;1144.0300
06/10/2011;1164.9700
07/10/2011;1155.4600
10/10/2011;1194.8900
11/10/2011;1195.5400
12/10/2011;1207.2500
13/10/2011;1203.6600
14/10/2011;1224.5800
17/10/2011;1200.8600
18/10/2011;1225.3800
19/10/2011;1209.8800
20/10/2011;1215.3900
21/10/2011;1238.2500
24/10/2011;1254.1900
25/10/2011;1229.0500
26/10/2011;1242.0000
27/10/2011;1284.5900
28/10/2011;1285.0900
31/10/2011;1253.3000
01/11/2011;1218.2800
02/11/2011;1237.9000
03/11/2011;1261.1500
04/11/2011;1253.2300
07/11/2011;1261.1200
08/11/2011;1275.9200
09/11/2011;1229.1000
10/11/2011;1239.7000
11/11/2011;1263.8500
14/11/2011;1251.7800
15/11/2011;1257.8100
16/11/2011;1236.9100
17/11/2011;1216.1300
18/11/2011;1215.6500
21/11/2011;1192.9800
22/11/2011;1188.0400
23/11/2011;1161.7900
25/11/2011;1158.6700
28/11/2011;1192.5500
29/11/2011;1195.1900
30/11/2011;1246.9600
01/12/2011;1244.5800
02/12/2011;1244.2800
05/12/2011;1257.0800
06/12/2011;1258.4700
07/12/2011;1261.0100
08/12/2011;1234.3500
09/12/2011;1255.1900
12/12/2011;1236.4700
13/12/2011;1225.7300
14/12/2011;1211.8200
15/12/2011;1215.7500
16/12/2011;1219.6600
19/12/2011;1205.3500
20/12/2011;1241.3000
21/12/2011;1243.7200
22/12/2011;1254.0000
23/12/2011;1265.3300
27/12/2011;1265.4300
28/12/2011;1249.6400
29/12/2011;1263.0200
30/12/2011;1257.6000
03/01/2012;1277.0600
04/01/2012;1277.3000
05/01/2012;1281.0600
06/01/2012;1277.8100
09/01/2012;1280.7000
10/01/2012;1292.0800
11/01/2012;1292.4800
12/01/2012;1295.5000
13/01/2012;1289.0900
17/01/2012;1293.6700
18/01/2012;1308.0400
19/01/2012;1314.5000
20/01/2012;1315.3800
23/01/2012;1316.0000
24/01/2012;1314.6500
25/01/2012;1326.0600
26/01/2012;1318.4300
27/01/2012;1316.3300
30/01/2012;1313.0100
31/01/2012;1312.4100
01/02/2012;1324.0900
02/02/2012;1325.5400
03/02/2012;1344.9000
06/02/2012;1344.3300
07/02/2012;1347.0500
08/02/2012;1349.9600
09/02/2012;1351.9500
10/02/2012;1342.6400
13/02/2012;1351.7700
14/02/2012;1350.5000
15/02/2012;1343.2300
16/02/2012;1358.0400
17/02/2012;1361.2300
21/02/2012;1362.2100
22/02/2012;1357.6600
23/02/2012;1363.4600
24/02/2012;1365.7400
27/02/2012;1367.5900
28/02/2012;1372.1800
29/02/2012;1365.6800
01/03/2012;1374.0900
02/03/2012;1369.6300
05/03/2012;1364.3300
06/03/2012;1343.3600
07/03/2012;1352.6300
08/03/2012;1365.9100
09/03/2012;1370.8700
12/03/2012;1371.0900
13/03/2012;1395.9500
14/03/2012;1394.2800
15/03/2012;1402.6000
16/03/2012;1404.1700
19/03/2012;1409.7500
20/03/2012;1405.5200
21/03/2012;1402.8900
22/03/2012;1392.7800
23/03/2012;1397.1100
26/03/2012;1416.5100
27/03/2012;1412.5200
28/03/2012;1405.5400
29/03/2012;1403.2800
30/03/2012;1408.4700
02/04/2012;1419.0400
03/04/2012;1413.3800
04/04/2012;1398.9600
05/04/2012;1398.0800
09/04/2012;1382.2000
10/04/2012;1358.5900
11/04/2012;1368.7100
12/04/2012;1387.5700
13/04/2012;1370.2600
16/04/2012;1369.5700
17/04/2012;1390.7800
18/04/2012;1385.1400
19/04/2012;1376.9200
20/04/2012;1378.5300
23/04/2012;1366.9400
24/04/2012;1371.9700
25/04/2012;1390.6900
26/04/2012;1399.9800
27/04/2012;1403.3600
30/04/2012;1397.9100
01/05/2012;1405.8200
02/05/2012;1402.3100
03/05/2012;1391.5700
04/05/2012;1369.1000
07/05/2012;1369.5800
08/05/2012;1363.7200
09/05/2012;1354.5800
10/05/2012;1357.9900
11/05/2012;1353.3900
14/05/2012;1338.3500
15/05/2012;1330.6600
16/05/2012;1324.8000
17/05/2012;1304.8600
18/05/2012;1295.2200
21/05/2012;1315.9900
22/05/2012;1316.6300
23/05/2012;1318.8600
24/05/2012;1320.6800
25/05/2012;1317.8200
29/05/2012;1332.4200
30/05/2012;1313.3200
31/05/2012;1310.3300
01/06/2012;1278.0400
04/06/2012;1278.1800
05/06/2012;1285.5000
06/06/2012;1315.1300
07/06/2012;1314.9900
08/06/2012;1325.6600
11/06/2012;1308.9300
12/06/2012;1324.1800
13/06/2012;1314.8800
14/06/2012;1329.1000
15/06/2012;1342.8400
18/06/2012;1344.7800
19/06/2012;1357.9800
20/06/2012;1355.6900
21/06/2012;1325.5100
22/06/2012;1335.0200
25/06/2012;1313.7200
26/06/2012;1319.9900
27/06/2012;1331.8500
28/06/2012;1329.0400
29/06/2012;1362.1600
02/07/2012;1365.5100
03/07/2012;1374.0200
05/07/2012;1367.5800
06/07/2012;1354.6800
09/07/2012;1352.4600
10/07/2012;1341.4700
11/07/2012;1341.4500
12/07/2012;1334.7600
13/07/2012;1356.7800
16/07/2012;1353.6400
17/07/2012;1363.6700
18/07/2012;1372.7800
19/07/2012;1376.5100
20/07/2012;1362.6600
23/07/2012;1350.5200
24/07/2012;1338.3100
25/07/2012;1337.8900
26/07/2012;1360.0200
27/07/2012;1385.9700
30/07/2012;1385.3000
31/07/2012;1379.3200
01/08/2012;1375.3200
02/08/2012;1365.0000
03/08/2012;1390.9900
06/08/2012;1394.2300
07/08/2012;1401.3500
08/08/2012;1402.2200
09/08/2012;1402.8000
10/08/2012;1405.8700
13/08/2012;1404.1100
14/08/2012;1403.9300
15/08/2012;1405.5300
16/08/2012;1415.5100
17/08/2012;1418.1600
20/08/2012;1418.1300
21/08/2012;1413.1700
22/08/2012;1413.4900
23/08/2012;1402.0800
24/08/2012;1411.1300
27/08/2012;1410.4400
28/08/2012;1409.3000
29/08/2012;1410.4900
30/08/2012;1399.4800
31/08/2012;1406.5800
04/09/2012;1404.9400
05/09/2012;1403.4400
06/09/2012;1432.1200
07/09/2012;1437.9200
10/09/2012;1429.0800
11/09/2012;1433.5600
12/09/2012;1436.5600
13/09/2012;1459.9900
14/09/2012;1465.7700
17/09/2012;1461.1900
18/09/2012;1459.3200
19/09/2012;1461.0500
20/09/2012;1460.2600
21/09/2012;1460.1500
24/09/2012;1456.8900
25/09/2012;1441.5900
26/09/2012;1433.3200
27/09/2012;1447.1500
28/09/2012;1440.6700
01/10/2012;1444.4900
02/10/2012;1445.7500
03/10/2012;1450.9900
04/10/2012;1461.4000
05/10/2012;1460.9300
08/10/2012;1455.8800
09/10/2012;1441.4800
10/10/2012;1432.5600
11/10/2012;1432.8400
12/10/2012;1428.5900
15/10/2012;1440.1300
16/10/2012;1454.9200
17/10/2012;1460.9100
18/10/2012;1457.3400
19/10/2012;1433.1900
22/10/2012;1433.8200
23/10/2012;1413.1100
24/10/2012;1408.7500
25/10/2012;1412.9700
26/10/2012;1411.9400
29/10/2012;1411.9400
30/10/2012;1411.9400
31/10/2012;1412.1600
01/11/2012;1427.5900
02/11/2012;1414.2000
05/11/2012;1417.2600
06/11/2012;1428.3900
07/11/2012;1394.5300
08/11/2012;1377.5100
09/11/2012;1379.8500
12/11/2012;1380.0300
13/11/2012;1374.5300
14/11/2012;1355.4900
15/11/2012;1353.3300
16/11/2012;1359.8800
19/11/2012;1386.8900
20/11/2012;1387.8100
21/11/2012;1391.0300
23/11/2012;1409.1500
26/11/2012;1406.2900
27/11/2012;1398.9400
28/11/2012;1409.9300
29/11/2012;1415.9500
30/11/2012;1416.1800
03/12/2012;1409.4600
04/12/2012;1407.0500
05/12/2012;1409.2800
06/12/2012;1413.9400
07/12/2012;1418.0700
10/12/2012;1418.5500
11/12/2012;1427.8400
12/12/2012;1428.4800
13/12/2012;1419.4500
14/12/2012;1413.5800
17/12/2012;1430.3600
18/12/2012;1446.7900
19/12/2012;1435.8100
20/12/2012;1443.6900
21/12/2012;1430.1500
24/12/2012;1426.6600
26/12/2012;1419.8300
27/12/2012;1418.1000
28/12/2012;1402.4300
31/12/2012;1426.1900
02/01/2013;1462.4200
03/01/2013;1459.3700
04/01/2013;1466.4700
07/01/2013;1461.8900
08/01/2013;1457.1500
09/01/2013;1461.0200
10/01/2013;1472.1200
11/01/2013;1472.0500
14/01/2013;1470.6800
15/01/2013;1472.3400
16/01/2013;1472.6300
17/01/2013;1480.9400
18/01/2013;1485.9800
22/01/2013;1492.5600
23/01/2013;1494.8100
24/01/2013;1494.8200
25/01/2013;1502.9600
28/01/2013;1500.1800
29/01/2013;1507.8400
30/01/2013;1501.9600
31/01/2013;1498.1100
01/02/2013;1513.1700
04/02/2013;1495.7100
05/02/2013;1511.2900
06/02/2013;1512.1200
07/02/2013;1509.3900
08/02/2013;1517.9300
11/02/2013;1517.0100
12/02/2013;1519.4300
13/02/2013;1520.3300
14/02/2013;1521.3800
15/02/2013;1519.7900
19/02/2013;1530.9400
20/02/2013;1511.9500
21/02/2013;1502.4200
22/02/2013;1515.6000
25/02/2013;1487.8500
26/02/2013;1496.9400
27/02/2013;1515.9900
28/02/2013;1514.6800
01/03/2013;1518.2000
04/03/2013;1525.2000
05/03/2013;1539.7900
06/03/2013;1541.4600
07/03/2013;1544.2600
08/03/2013;1551.1800
11/03/2013;1556.2200
12/03/2013;1552.4800
13/03/2013;1554.5200
14/03/2013;1563.2300
15/03/2013;1560.7000
18/03/2013;1552.1000
19/03/2013;1548.3400
20/03/2013;1558.7100
21/03/2013;1545.8000
22/03/2013;1556.8900
25/03/2013;1551.6900
26/03/2013;1563.7700
27/03/2013;1562.8500
28/03/2013;1569.1900
01/04/2013;1562.1700
02/04/2013;1570.2500
03/04/2013;1553.6900
04/04/2013;1559.9800
05/04/2013;1553.2800
08/04/2013;1563.0700
09/04/2013;1568.6100
10/04/2013;1587.7300
11/04/2013;1593.3700
12/04/2013;1588.8500
15/04/2013;1552.3600
16/04/2013;1574.5700
17/04/2013;1552.0100
18/04/2013;1541.6100
19/04/2013;1555.2500
22/04/2013;1562.5000
23/04/2013;1578.7800
24/04/2013;1578.7900
25/04/2013;1585.1600
26/04/2013;1582.2400
29/04/2013;1593.6100
30/04/2013;1597.5700
01/05/2013;1582.7000
02/05/2013;1597.5900
03/05/2013;1614.4200
06/05/2013;1617.5000
07/05/2013;1625.9600
08/05/2013;1632.6900
09/05/2013;1626.6700
10/05/2013;1633.7000
13/05/2013;1633.7700
14/05/2013;1650.3400
15/05/2013;1658.7800
16/05/2013;1650.4700
17/05/2013;1667.4700
20/05/2013;1666.2900
21/05/2013;1669.1600
22/05/2013;1655.3500
23/05/2013;1650.5100
24/05/2013;1649.6000
28/05/2013;1660.0600
29/05/2013;1648.3600
30/05/2013;1654.4100
31/05/2013;1630.7400
03/06/2013;1640.4200
04/06/2013;1631.3800
05/06/2013;1608.9000
06/06/2013;1622.5600
07/06/2013;1643.3800
10/06/2013;1642.8100
11/06/2013;1626.1300
12/06/2013;1612.5200
13/06/2013;1636.3600
14/06/2013;1626.7300
17/06/2013;1639.0400
18/06/2013;1651.8100
19/06/2013;1628.9300
20/06/2013;1588.1900
21/06/2013;1592.4300
24/06/2013;1573.0900
25/06/2013;1588.0300
26/06/2013;1603.2600
27/06/2013;1613.2000
28/06/2013;1606.2800
01/07/2013;1614.9600
02/07/2013;1614.0800
03/07/2013;1615.4100
05/07/2013;1631.8900
08/07/2013;1640.4600
09/07/2013;1652.3200
10/07/2013;1652.6200
11/07/2013;1675.0200
12/07/2013;1680.1900
15/07/2013;1682.5000
16/07/2013;1676.2600
17/07/2013;1680.9100
18/07/2013;1689.3700
19/07/2013;1692.0900
22/07/2013;1695.5300
23/07/2013;1692.3900
24/07/2013;1685.9400
25/07/2013;1690.2500
26/07/2013;1691.6500
29/07/2013;1685.3300
30/07/2013;1685.9600
31/07/2013;1685.7300
01/08/2013;1706.8700
02/08/2013;1709.6700
05/08/2013;1707.1400
06/08/2013;1697.3700
07/08/2013;1690.9100
08/08/2013;1697.4800
09/08/2013;1691.4200
12/08/2013;1689.4700
13/08/2013;1694.1600
14/08/2013;1685.3900
15/08/2013;1661.3200
16/08/2013;1655.8300
19/08/2013;1646.0600
20/08/2013;1652.3500
21/08/2013;1642.8000
22/08/2013;1656.9600
23/08/2013;1663.5000
26/08/2013;1656.7800
27/08/2013;1630.4800
28/08/2013;1634.9600
29/08/2013;1638.1700
30/08/2013;1632.9700
03/09/2013;1639.7700
04/09/2013;1653.0800
05/09/2013;1655.0800
06/09/2013;1655.1700
09/09/2013;1671.7100
10/09/2013;1683.9900
11/09/2013;1689.1300
12/09/2013;1683.4200
13/09/2013;1687.9900
16/09/2013;1697.6000
17/09/2013;1704.7600
18/09/2013;1725.5200
19/09/2013;1722.3400
20/09/2013;1709.9100
23/09/2013;1701.8400
24/09/2013;1697.4200
25/09/2013;1692.7700
26/09/2013;1698.6700
27/09/2013;1691.7500
30/09/2013;1681.5500
01/10/2013;1695.0000
02/10/2013;1693.8700
03/10/2013;1678.6600
04/10/2013;1690.5000
07/10/2013;1676.1200
08/10/2013;1655.4500
09/10/2013;1656.4000
10/10/2013;1692.5600
11/10/2013;1703.2000
14/10/2013;1710.1400
15/10/2013;1698.0600
16/10/2013;1721.5400
17/10/2013;1733.1500
18/10/2013;1744.5000
21/10/2013;1744.6600
22/10/2013;1754.6700
23/10/2013;1746.3800
24/10/2013;1752.0700
25/10/2013;1759.7700
28/10/2013;1762.1100
29/10/2013;1771.9500
30/10/2013;1763.3100
31/10/2013;1756.5400
01/11/2013;1761.6400
04/11/2013;1767.9300
05/11/2013;1762.9700
06/11/2013;1770.4900
07/11/2013;1747.1500
08/11/2013;1770.6100
11/11/2013;1771.8900
12/11/2013;1767.6900
13/11/2013;1782.0000
14/11/2013;1790.6200
15/11/2013;1798.1800
18/11/2013;1791.5300
19/11/2013;1787.8700
20/11/2013;1781.3700
21/11/2013;1795.8500
22/11/2013;1804.7600
25/11/2013;1802.4800
26/11/2013;1802.7500
27/11/2013;1807.2300
29/11/2013;1805.8100
02/12/2013;1800.9000
03/12/2013;1795.1500
04/12/2013;1792.8100
05/12/2013;1785.0300
06/12/2013;1805.0900
09/12/2013;1808.3700
10/12/2013;1802.6200
11/12/2013;1782.2200
12/12/2013;1775.5000
13/12/2013;1775.3200
16/12/2013;1786.5400
17/12/2013;1781.0000
18/12/2013;1810.6500
19/12/2013;1809.6000
20/12/2013;1818.3200
23/12/2013;1827.9900
24/12/2013;1833.3200
26/12/2013;1842.0200
27/12/2013;1841.4000
30/12/2013;1841.0700
31/12/2013;1848.3600
02/01/2014;1831.9800
03/01/2014;1831.3700
06/01/2014;1826.7700
07/01/2014;1837.8800
08/01/2014;1837.4900
09/01/2014;1838.1300
10/01/2014;1842.3700
13/01/2014;1819.2000
14/01/2014;1838.8800
15/01/2014;1848.3800
16/01/2014;1845.8900
17/01/2014;1838.7000
21/01/2014;1843.8000
22/01/2014;1844.8600
23/01/2014;1828.4600
24/01/2014;1790.2900
27/01/2014;1781.5600
28/01/2014;1792.5000
29/01/2014;1774.2000
30/01/2014;1794.1900
31/01/2014;1782.5900
03/02/2014;1741.8900
04/02/2014;1755.2000
05/02/2014;1751.6400
06/02/2014;1773.4300
07/02/2014;1797.0200
10/02/2014;1799.8400
